,Charging Current (A),Actual Pilot (A),Voltage (V),Charging State,Energy Delivered (kWh),Power (kW)
2019-12-02T17:50:24+00:00,5.5,8.0,219.9,ADAPTIVE,0.000708333333333,1.218
2019-12-02T17:50:28+00:00,8.2,8.0,220.0,ADAPTIVE,0.00250277777778,1.8159999999999998
2019-12-02T17:50:32+00:00,8.3,8.0,219.7,ADAPTIVE,0.00450138888889,1.8379999999999999
2019-12-02T17:50:36+00:00,8.3,8.0,220.0,ADAPTIVE,0.00651083333333,1.8379999999999999
2019-12-02T17:50:40+00:00,8.3,8.0,219.9,ADAPTIVE,0.00851194444444,1.8299999999999998
2019-12-02T17:50:44+00:00,8.2,8.0,219.8,ADAPTIVE,0.010521111111099999,1.825
2019-12-02T17:50:48+00:00,8.5,32.0,219.7,ADAPTIVE,0.012526111111099998,1.8719999999999999
2019-12-02T17:50:52+00:00,13.7,32.0,219.2,ADAPTIVE,0.015248333333299998,3.028
2019-12-02T17:50:56+00:00,15.8,32.0,219.2,ADAPTIVE,0.018948611111099998,3.497
2019-12-02T17:51:00+00:00,15.9,32.0,219.0,ADAPTIVE,0.022788611111099998,3.514
2019-12-02T17:51:04+00:00,15.9,32.0,218.8,ADAPTIVE,0.0266130555556,3.501
2019-12-02T17:51:08+00:00,15.9,32.0,218.8,ADAPTIVE,0.03044,3.521
2019-12-02T17:51:12+00:00,15.9,32.0,218.3,ADAPTIVE,0.0342825,3.512
2019-12-02T17:51:15+00:00,15.9,32.0,219.0,ADAPTIVE,0.0381044444444,3.513
2019-12-02T17:51:20+00:00,15.8,32.0,218.9,ADAPTIVE,0.04193083333329999,3.501
2019-12-02T17:51:24+00:00,15.9,32.0,219.0,ADAPTIVE,0.0457741666667,3.516
2019-12-02T17:51:28+00:00,15.9,32.0,219.1,ADAPTIVE,0.0496013888889,3.51
2019-12-02T17:51:32+00:00,15.9,32.0,218.9,ADAPTIVE,0.05342694444439999,3.516
2019-12-02T17:51:36+00:00,15.9,32.0,219.6,ADAPTIVE,0.0572752777778,3.5269999999999997
2019-12-02T17:51:39+00:00,15.9,32.0,219.3,ADAPTIVE,0.06111,3.52
2019-12-02T17:51:44+00:00,15.9,32.0,219.1,ADAPTIVE,0.0649580555556,3.5189999999999997
2019-12-02T17:51:48+00:00,15.9,32.0,219.0,ADAPTIVE,0.0687825,3.514
2019-12-02T17:51:51+00:00,16.0,32.0,219.0,ADAPTIVE,0.07262249999999999,3.536
2019-12-02T17:51:55+00:00,15.9,32.0,218.8,ADAPTIVE,0.07644888888889999,3.512
2019-12-02T17:51:59+00:00,16.0,32.0,219.2,ADAPTIVE,0.0802911111111,3.53
2019-12-02T17:52:03+00:00,16.0,32.0,219.5,ADAPTIVE,0.0841202777778,3.533
2019-12-02T17:52:07+00:00,15.9,32.0,219.0,ADAPTIVE,0.0879511111111,3.5109999999999997
2019-12-02T17:52:11+00:00,15.9,32.0,219.1,ADAPTIVE,0.0917980555556,3.509
2019-12-02T17:52:15+00:00,16.0,32.0,219.2,ADAPTIVE,0.0956286111111,3.525
2019-12-02T17:52:19+00:00,15.9,32.0,219.4,ADAPTIVE,0.09945999999999999,3.521
2019-12-02T17:52:22+00:00,15.9,32.0,219.4,ADAPTIVE,0.103310833333,3.506
2019-12-02T17:52:26+00:00,16.0,32.0,219.4,ADAPTIVE,0.107128611111,3.5349999999999997
2019-12-02T17:52:31+00:00,16.0,32.0,219.3,ADAPTIVE,0.110977777778,3.528
2019-12-02T17:52:34+00:00,15.9,32.0,219.3,ADAPTIVE,0.11480972222199999,3.522
2019-12-02T17:52:38+00:00,15.9,32.0,219.3,ADAPTIVE,0.118641111111,3.5229999999999997
2019-12-02T17:52:43+00:00,15.9,32.0,219.1,ADAPTIVE,0.122488055556,3.517
2019-12-02T17:52:47+00:00,15.9,32.0,219.1,ADAPTIVE,0.12632,3.52
2019-12-02T17:52:50+00:00,15.9,32.0,219.2,ADAPTIVE,0.130151388889,3.524
2019-12-02T17:52:56+00:00,15.9,32.0,219.4,ADAPTIVE,0.134000555556,3.524
2019-12-02T17:52:58+00:00,15.9,32.0,219.3,ADAPTIVE,0.137834722222,3.516
2019-12-02T17:53:02+00:00,15.9,32.0,219.3,ADAPTIVE,0.141683611111,3.516
2019-12-02T17:53:06+00:00,15.9,32.0,219.4,ADAPTIVE,0.145518888889,3.5069999999999997
2019-12-02T17:53:10+00:00,15.9,32.0,219.3,ADAPTIVE,0.149353611111,3.513
2019-12-02T17:53:14+00:00,15.9,32.0,219.5,ADAPTIVE,0.15320277777799998,3.516
2019-12-02T17:53:18+00:00,15.9,32.0,219.3,ADAPTIVE,0.157037777778,3.518
2019-12-02T17:53:22+00:00,15.9,32.0,219.5,ADAPTIVE,0.16088611111099999,3.512
2019-12-02T17:53:26+00:00,15.9,32.0,219.3,ADAPTIVE,0.16472027777799997,3.522
2019-12-02T17:53:30+00:00,15.9,32.0,219.4,ADAPTIVE,0.1685725,3.5309999999999997
2019-12-02T17:53:33+00:00,15.9,32.0,219.4,ADAPTIVE,0.172405277778,3.522
2019-12-02T17:53:37+00:00,16.0,32.0,219.3,ADAPTIVE,0.176238611111,3.5309999999999997
2019-12-02T17:53:42+00:00,15.9,32.0,218.3,ADAPTIVE,0.180083611111,3.513
2019-12-02T17:53:46+00:00,15.9,32.0,218.3,ADAPTIVE,0.18389583333299997,3.5
2019-12-02T17:53:50+00:00,15.9,32.0,218.4,ADAPTIVE,0.187728611111,3.493
2019-12-02T17:53:54+00:00,15.9,32.0,218.5,ADAPTIVE,0.191548055556,3.497
2019-12-02T17:53:57+00:00,16.0,32.0,219.1,ADAPTIVE,0.19538,3.529
2019-12-02T17:54:01+00:00,15.9,32.0,219.2,ADAPTIVE,0.199231111111,3.516
2019-12-02T17:54:05+00:00,15.9,32.0,219.4,ADAPTIVE,0.203065277778,3.528
2019-12-02T17:54:09+00:00,15.9,32.0,219.0,ADAPTIVE,0.20691583333299998,3.516
2019-12-02T17:54:13+00:00,15.9,32.0,219.4,ADAPTIVE,0.210750555556,3.516
2019-12-02T17:54:17+00:00,15.9,32.0,219.7,ADAPTIVE,0.214600555556,3.506
2019-12-02T17:54:21+00:00,15.9,32.0,219.1,ADAPTIVE,0.218432777778,3.522
2019-12-02T17:54:25+00:00,15.9,32.0,219.3,ADAPTIVE,0.222279166667,3.518
2019-12-02T17:54:29+00:00,15.8,32.0,219.1,ADAPTIVE,0.226110555556,3.501
2019-12-02T17:54:33+00:00,16.0,32.0,219.4,ADAPTIVE,0.22994277777799998,3.532
2019-12-02T17:54:37+00:00,15.9,32.0,219.3,ADAPTIVE,0.2337925,3.514
2019-12-02T17:54:41+00:00,15.9,32.0,219.4,ADAPTIVE,0.237626111111,3.522
2019-12-02T17:54:45+00:00,16.3,32.0,214.2,ADAPTIVE,0.241479444444,3.521
2019-12-02T17:54:48+00:00,15.9,32.0,218.2,ADAPTIVE,0.24529805555599998,3.504
2019-12-02T17:54:52+00:00,15.9,32.0,218.4,ADAPTIVE,0.249133611111,3.514
2019-12-02T17:54:56+00:00,15.9,32.0,218.4,ADAPTIVE,0.25295277777799996,3.5
2019-12-02T17:55:00+00:00,15.9,32.0,218.3,ADAPTIVE,0.256783055556,3.501
2019-12-02T17:55:04+00:00,16.0,32.0,218.4,ADAPTIVE,0.26060277777799995,3.516
2019-12-02T17:55:09+00:00,15.9,32.0,219.1,ADAPTIVE,0.26444666666699995,3.521
2019-12-02T17:55:12+00:00,15.9,32.0,219.2,ADAPTIVE,0.268281944444,3.516
2019-12-02T17:55:16+00:00,15.9,32.0,219.6,ADAPTIVE,0.27211638888899997,3.533
2019-12-02T17:55:20+00:00,16.0,32.0,219.4,ADAPTIVE,0.27597138888899997,3.544
2019-12-02T17:55:24+00:00,15.8,32.0,219.4,ADAPTIVE,0.279808333333,3.5069999999999997
2019-12-02T17:55:28+00:00,15.9,32.0,219.3,ADAPTIVE,0.283661388889,3.525
2019-12-02T17:55:32+00:00,15.9,32.0,219.4,ADAPTIVE,0.287499444444,3.52
2019-12-02T17:55:36+00:00,15.9,32.0,219.4,ADAPTIVE,0.291337222222,3.518
2019-12-02T17:55:40+00:00,15.9,32.0,219.5,ADAPTIVE,0.295189722222,3.529
2019-12-02T17:55:44+00:00,15.9,32.0,219.6,ADAPTIVE,0.299025,3.525
2019-12-02T17:55:48+00:00,15.9,32.0,219.2,ADAPTIVE,0.302876944444,3.5069999999999997
2019-12-02T17:55:51+00:00,16.0,32.0,219.5,ADAPTIVE,0.306712777778,3.5349999999999997
2019-12-02T17:55:55+00:00,15.9,32.0,219.5,ADAPTIVE,0.310564722222,3.524
2019-12-02T17:56:00+00:00,15.9,32.0,219.5,ADAPTIVE,0.314402222222,3.5269999999999997
2019-12-02T17:56:05+00:00,16.0,32.0,219.3,ADAPTIVE,0.318255833333,3.532
2019-12-02T17:56:07+00:00,16.0,32.0,219.5,ADAPTIVE,0.322093055556,3.5349999999999997
2019-12-02T17:56:11+00:00,15.8,32.0,219.4,ADAPTIVE,0.325945277778,3.4989999999999997
2019-12-02T17:56:15+00:00,15.9,32.0,219.2,ADAPTIVE,0.329781666667,3.518
2019-12-02T17:56:19+00:00,15.9,32.0,219.5,ADAPTIVE,0.333633333333,3.509
2019-12-02T17:56:23+00:00,15.9,32.0,219.4,ADAPTIVE,0.33746916666699994,3.521
2019-12-02T17:56:27+00:00,16.0,32.0,218.3,ADAPTIVE,0.34129805555599996,3.518
2019-12-02T17:56:31+00:00,15.9,32.0,218.3,ADAPTIVE,0.345133888889,3.4939999999999998
2019-12-02T17:56:35+00:00,16.0,32.0,218.2,ADAPTIVE,0.34895138888899996,3.5149999999999997
2019-12-02T17:56:39+00:00,16.0,32.0,218.3,ADAPTIVE,0.352788333333,3.52
2019-12-02T17:56:43+00:00,15.9,32.0,218.5,ADAPTIVE,0.35661055555599996,3.5
2019-12-02T17:56:47+00:00,15.9,32.0,219.2,ADAPTIVE,0.360454722222,3.509
2019-12-02T17:56:51+00:00,15.9,32.0,219.3,ADAPTIVE,0.364293888889,3.5189999999999997
2019-12-02T17:56:56+00:00,15.9,32.0,219.4,ADAPTIVE,0.368149444444,3.528
2019-12-02T17:56:58+00:00,15.9,32.0,219.5,ADAPTIVE,0.371989722222,3.534
2019-12-02T17:57:02+00:00,15.9,32.0,219.8,ADAPTIVE,0.375845,3.52
2019-12-02T17:57:06+00:00,15.9,32.0,219.7,ADAPTIVE,0.37968694444400003,3.5349999999999997
2019-12-02T17:57:10+00:00,15.9,32.0,219.5,ADAPTIVE,0.38355,3.5269999999999997
2019-12-02T17:57:14+00:00,15.9,32.0,219.5,ADAPTIVE,0.38739305555599995,3.534
2019-12-02T17:57:18+00:00,15.8,32.0,219.4,ADAPTIVE,0.3912325,3.502
2019-12-02T17:57:22+00:00,16.0,32.0,219.3,ADAPTIVE,0.395088333333,3.536
2019-12-02T17:57:26+00:00,16.0,32.0,219.8,ADAPTIVE,0.398930277778,3.538
2019-12-02T17:57:30+00:00,16.0,32.0,219.7,ADAPTIVE,0.402789166667,3.53
2019-12-02T17:57:34+00:00,16.0,32.0,219.2,ADAPTIVE,0.40663277777799994,3.532
2019-12-02T17:57:38+00:00,15.9,32.0,219.6,ADAPTIVE,0.410491666667,3.532
2019-12-02T17:57:42+00:00,15.9,32.0,219.6,ADAPTIVE,0.41433388888899997,3.528
2019-12-02T17:57:46+00:00,15.9,32.0,219.4,ADAPTIVE,0.41817499999999996,3.53
2019-12-02T17:57:50+00:00,15.9,32.0,219.5,ADAPTIVE,0.42203305555599996,3.5229999999999997
2019-12-02T17:57:54+00:00,16.0,32.0,219.6,ADAPTIVE,0.42587805555599995,3.54
2019-12-02T17:57:59+00:00,16.0,32.0,219.5,ADAPTIVE,0.429738333333,3.538
2019-12-02T17:58:02+00:00,16.0,32.0,219.5,ADAPTIVE,0.433578611111,3.541
2019-12-02T17:58:05+00:00,16.0,32.0,219.0,ADAPTIVE,0.43743527777799995,3.533
2019-12-02T17:58:10+00:00,15.9,32.0,218.9,ADAPTIVE,0.441266111111,3.51
2019-12-02T17:58:13+00:00,16.0,32.0,220.4,ADAPTIVE,0.44511972222199997,3.5509999999999997
2019-12-02T17:58:17+00:00,15.9,32.0,220.7,ADAPTIVE,0.44898166666699996,3.538
2019-12-02T17:58:21+00:00,16.0,32.0,220.7,ADAPTIVE,0.45286166666699995,3.558
2019-12-02T17:58:25+00:00,16.0,32.0,221.2,ADAPTIVE,0.45673027777799996,3.573
2019-12-02T17:58:29+00:00,16.0,32.0,221.2,ADAPTIVE,0.460619166667,3.57
2019-12-02T17:58:33+00:00,15.9,32.0,221.0,ADAPTIVE,0.46448999999999996,3.541
2019-12-02T17:58:37+00:00,16.0,32.0,220.9,ADAPTIVE,0.4683575,3.5549999999999997
2019-12-02T17:58:41+00:00,15.9,32.0,221.1,ADAPTIVE,0.472240833333,3.549
2019-12-02T17:58:45+00:00,15.9,32.0,221.3,ADAPTIVE,0.476108611111,3.548
2019-12-02T17:58:49+00:00,16.0,32.0,221.2,ADAPTIVE,0.479996944444,3.562
2019-12-02T17:58:53+00:00,15.9,32.0,220.8,ADAPTIVE,0.483865277778,3.54
2019-12-02T17:58:57+00:00,15.9,32.0,220.6,ADAPTIVE,0.48772861111099997,3.545
2019-12-02T17:59:01+00:00,16.0,32.0,220.9,ADAPTIVE,0.491611111111,3.5549999999999997
2019-12-02T17:59:05+00:00,16.0,8.0,221.2,ADAPTIVE,0.49548138888899995,3.568
2019-12-02T17:59:09+00:00,12.1,32.0,221.2,ADAPTIVE,0.498171388889,2.713
2019-12-02T17:59:12+00:00,15.8,32.0,221.1,ADAPTIVE,0.501680277778,3.528
2019-12-02T17:59:16+00:00,16.0,32.0,221.3,ADAPTIVE,0.505566944444,3.5669999999999997
2019-12-02T17:59:21+00:00,16.0,32.0,221.2,ADAPTIVE,0.509439166667,3.557
2019-12-02T17:59:25+00:00,16.0,32.0,221.2,ADAPTIVE,0.5133274999999999,3.5589999999999997
2019-12-02T17:59:28+00:00,16.0,32.0,220.9,ADAPTIVE,0.517200833333,3.5629999999999997
2019-12-02T17:59:32+00:00,16.0,31.0,221.2,ADAPTIVE,0.521089166667,3.558
2019-12-02T17:59:39+00:00,16.0,31.0,220.8,ADAPTIVE,0.524956388889,3.5759999999999996
2019-12-02T17:59:42+00:00,16.0,18.0,220.8,ADAPTIVE,0.5288427777779999,3.56
2019-12-02T17:59:45+00:00,15.9,18.0,220.3,ADAPTIVE,0.5327086111109999,3.542
