,Charging Current (A),Actual Pilot (A),Voltage (V),Charging State,Energy Delivered (kWh),Power (kW)
2019-12-02T17:59:49+00:00,15.9,18.0,219.5,ADAPTIVE,0.536568611111,3.513
2019-12-02T17:59:52+00:00,16.0,18.0,219.3,ADAPTIVE,0.540409166667,3.5309999999999997
2019-12-02T17:59:56+00:00,15.9,18.0,219.4,ADAPTIVE,0.544250277778,3.517
2019-12-02T18:00:01+00:00,16.0,18.0,219.9,ADAPTIVE,0.5481102777779999,3.536
2019-12-02T18:00:04+00:00,16.0,18.0,219.8,ADAPTIVE,0.551956388889,3.545
2019-12-02T18:00:08+00:00,16.0,18.0,220.6,ADAPTIVE,0.555827777778,3.557
2019-12-02T18:00:12+00:00,16.0,18.0,221.0,ADAPTIVE,0.5596911111109999,3.5549999999999997
2019-12-02T18:00:16+00:00,16.0,18.0,220.7,ADAPTIVE,0.563555,3.55
2019-12-02T18:00:19+00:00,16.0,18.0,221.0,ADAPTIVE,0.567434166667,3.556
2019-12-02T18:00:24+00:00,16.0,18.0,220.7,ADAPTIVE,0.571297777778,3.553
2019-12-02T18:00:29+00:00,15.9,18.0,220.5,ADAPTIVE,0.5751775,3.552
2019-12-02T18:00:31+00:00,16.0,18.0,220.6,ADAPTIVE,0.579039722222,3.553
2019-12-02T18:00:35+00:00,15.9,18.0,220.7,ADAPTIVE,0.582916111111,3.5389999999999997
2019-12-02T18:00:39+00:00,15.9,18.0,220.6,ADAPTIVE,0.5867783333329999,3.542
2019-12-02T18:00:43+00:00,15.9,18.0,220.8,ADAPTIVE,0.5906563888890001,3.5309999999999997
2019-12-02T18:00:47+00:00,15.9,18.0,220.9,ADAPTIVE,0.5945211111109999,3.533
2019-12-02T18:00:51+00:00,15.9,18.0,220.6,ADAPTIVE,0.5984013888890001,3.546
2019-12-02T18:00:55+00:00,15.9,18.0,220.4,ADAPTIVE,0.6022655555559999,3.548
2019-12-02T18:00:59+00:00,15.9,18.0,220.4,ADAPTIVE,0.606129722222,3.537
2019-12-02T18:01:04+00:00,16.0,18.0,220.4,ADAPTIVE,0.610009166667,3.554
2019-12-02T18:01:07+00:00,16.0,18.0,220.6,ADAPTIVE,0.613874722222,3.549
2019-12-02T18:01:11+00:00,15.9,18.0,220.2,ADAPTIVE,0.6177555555559999,3.54
2019-12-02T18:01:15+00:00,16.0,18.0,219.4,ADAPTIVE,0.621608055556,3.542
2019-12-02T18:01:19+00:00,15.9,18.0,219.3,ADAPTIVE,0.625471666667,3.521
2019-12-02T18:01:23+00:00,15.9,18.0,219.6,ADAPTIVE,0.629318055556,3.524
2019-12-02T18:01:27+00:00,15.9,18.0,219.5,ADAPTIVE,0.633166111111,3.524
2019-12-02T18:01:30+00:00,16.0,18.0,220.0,ADAPTIVE,0.637035277778,3.5429999999999997
2019-12-02T18:01:34+00:00,16.0,18.0,221.1,ADAPTIVE,0.640894444444,3.5629999999999997
2019-12-02T18:01:38+00:00,16.0,18.0,221.0,ADAPTIVE,0.644780277778,3.5589999999999997
2019-12-02T18:01:42+00:00,15.9,18.0,221.0,ADAPTIVE,0.648648333333,3.5429999999999997
2019-12-02T18:01:46+00:00,15.9,18.0,220.6,ADAPTIVE,0.652533611111,3.545
2019-12-02T18:01:50+00:00,15.9,18.0,220.7,ADAPTIVE,0.656401111111,3.5389999999999997
2019-12-02T18:01:54+00:00,15.9,18.0,220.7,ADAPTIVE,0.660284722222,3.545
2019-12-02T18:01:58+00:00,16.0,18.0,220.8,ADAPTIVE,0.6641536111109999,3.56
2019-12-02T18:02:02+00:00,16.0,18.0,220.8,ADAPTIVE,0.668040555556,3.565
2019-12-02T18:02:06+00:00,15.9,18.0,220.7,ADAPTIVE,0.671909166667,3.541
2019-12-02T18:02:10+00:00,15.9,18.0,220.6,ADAPTIVE,0.675779166667,3.546
2019-12-02T18:02:14+00:00,15.9,18.0,220.9,ADAPTIVE,0.6796658333329999,3.553
2019-12-02T18:02:30+00:00,15.9,18.0,220.8,ADAPTIVE,0.691294166667,3.54
2019-12-02T18:02:31+00:00,16.0,18.0,221.0,ADAPTIVE,0.6951649999999999,3.565
2019-12-02T18:02:34+00:00,15.9,18.0,221.0,ADAPTIVE,0.699050277778,3.552
2019-12-02T18:02:38+00:00,15.9,18.0,220.7,ADAPTIVE,0.7029211111109999,3.554
2019-12-02T18:02:49+00:00,16.0,18.0,220.6,ADAPTIVE,0.7106736111109999,3.5509999999999997
2019-12-02T18:02:50+00:00,15.9,18.0,220.2,ADAPTIVE,0.7145361111109999,3.533
2019-12-02T18:02:53+00:00,15.9,18.0,220.6,ADAPTIVE,0.7184155555559999,3.536
2019-12-02T18:02:59+00:00,15.9,18.0,220.7,ADAPTIVE,0.7222794444439999,3.542
2019-12-02T18:03:02+00:00,16.0,18.0,221.0,ADAPTIVE,0.7261630555559999,3.5669999999999997
2019-12-02T18:03:05+00:00,16.0,18.0,221.9,ADAPTIVE,0.730044722222,3.5669999999999997
2019-12-02T18:03:09+00:00,15.9,18.0,221.3,ADAPTIVE,0.7339436111109999,3.541
2019-12-02T18:03:13+00:00,16.0,18.0,219.6,ADAPTIVE,0.7378277777779999,3.5589999999999997
2019-12-02T18:03:17+00:00,16.0,20.0,220.2,ADAPTIVE,0.741709444444,3.554
2019-12-02T18:03:27+00:00,15.9,20.0,219.4,ADAPTIVE,0.749424444444,3.526
2019-12-02T18:03:29+00:00,15.9,20.0,219.9,ADAPTIVE,0.753274166667,3.545
2019-12-02T18:03:33+00:00,15.9,20.0,220.0,ADAPTIVE,0.757144444444,3.538
2019-12-02T18:03:38+00:00,15.9,20.0,220.8,ADAPTIVE,0.761005277778,3.54
2019-12-02T18:03:40+00:00,15.9,20.0,221.0,ADAPTIVE,0.764876944444,3.545
2019-12-02T18:03:44+00:00,16.0,20.0,221.0,ADAPTIVE,0.7687705555559999,3.5629999999999997
2019-12-02T18:03:50+00:00,16.0,20.0,221.0,ADAPTIVE,0.772648888889,3.557
2019-12-02T18:03:52+00:00,16.0,20.0,221.0,ADAPTIVE,0.7765430555559999,3.57
2019-12-02T18:03:56+00:00,16.0,20.0,220.7,ADAPTIVE,0.780419166667,3.5589999999999997
2019-12-02T18:04:00+00:00,16.0,20.0,220.6,ADAPTIVE,0.784284722222,3.548
2019-12-02T18:04:07+00:00,15.9,20.0,220.8,ADAPTIVE,0.788166388889,3.538
2019-12-02T18:04:09+00:00,16.0,20.0,220.7,ADAPTIVE,0.7920324999999999,3.556
2019-12-02T18:04:14+00:00,15.9,20.0,220.6,ADAPTIVE,0.7959130555559999,3.544
2019-12-02T18:04:16+00:00,16.0,20.0,220.4,ADAPTIVE,0.799777222222,3.552
2019-12-02T18:04:20+00:00,15.9,20.0,220.6,ADAPTIVE,0.803642777778,3.5349999999999997
2019-12-02T18:04:25+00:00,16.0,20.0,220.5,ADAPTIVE,0.8075236111109999,3.5509999999999997
2019-12-02T18:04:28+00:00,15.9,20.0,220.6,ADAPTIVE,0.8113861111109999,3.545
2019-12-02T18:04:32+00:00,15.9,20.0,220.6,ADAPTIVE,0.8152686111109999,3.5469999999999997
2019-12-02T18:04:36+00:00,15.9,20.0,220.4,ADAPTIVE,0.819132777778,3.545
2019-12-02T18:04:39+00:00,16.0,20.0,220.3,ADAPTIVE,0.823013333333,3.549
2019-12-02T18:04:43+00:00,16.0,20.0,220.4,ADAPTIVE,0.826877222222,3.55
2019-12-02T18:04:48+00:00,16.0,20.0,220.5,ADAPTIVE,0.830755277778,3.5509999999999997
2019-12-02T18:04:51+00:00,16.0,20.0,220.4,ADAPTIVE,0.834618888889,3.5629999999999997
2019-12-02T18:04:56+00:00,16.0,20.0,220.2,ADAPTIVE,0.8384975,3.5589999999999997
2019-12-02T18:05:00+00:00,16.0,20.0,220.3,ADAPTIVE,0.842356388889,3.549
2019-12-02T18:05:03+00:00,15.9,20.0,220.6,ADAPTIVE,0.846234166667,3.532
2019-12-02T18:05:12+00:00,15.9,20.0,220.6,ADAPTIVE,0.8500983333329999,3.537
2019-12-02T18:05:13+00:00,16.0,20.0,220.7,ADAPTIVE,0.8539636111109999,3.554
2019-12-02T18:05:15+00:00,15.9,20.0,220.5,ADAPTIVE,0.8578458333329999,3.5309999999999997
2019-12-02T18:05:20+00:00,15.9,19.0,220.3,ADAPTIVE,0.861707222222,3.545
2019-12-02T18:05:23+00:00,16.0,19.0,220.5,ADAPTIVE,0.865586944444,3.552
2019-12-02T18:05:27+00:00,16.0,20.0,220.6,ADAPTIVE,0.869451388889,3.556
2019-12-02T18:05:31+00:00,16.0,20.0,218.3,ADAPTIVE,0.8733036111109999,3.517
2019-12-02T18:05:35+00:00,16.0,20.0,218.3,ADAPTIVE,0.8771275,3.51
2019-12-02T18:05:39+00:00,16.0,20.0,218.3,ADAPTIVE,0.8809652777779999,3.522
2019-12-02T18:05:42+00:00,16.0,20.0,218.5,ADAPTIVE,0.8847908333329999,3.52
2019-12-02T18:05:47+00:00,16.0,20.0,218.5,ADAPTIVE,0.8886183333329999,3.517
2019-12-02T18:05:52+00:00,15.9,20.0,219.3,ADAPTIVE,0.892468055556,3.517
2019-12-02T18:05:54+00:00,15.9,20.0,218.9,ADAPTIVE,0.8963099999999999,3.521
2019-12-02T18:06:00+00:00,16.0,20.0,219.4,ADAPTIVE,0.900169166667,3.5389999999999997
2019-12-02T18:06:02+00:00,16.0,20.0,218.5,ADAPTIVE,0.904013055556,3.5309999999999997
2019-12-02T18:06:06+00:00,15.9,20.0,218.4,ADAPTIVE,0.907845,3.5029999999999997
2019-12-02T18:06:11+00:00,16.0,20.0,218.6,ADAPTIVE,0.9116963888890001,3.536
2019-12-02T18:06:15+00:00,16.0,20.0,218.7,ADAPTIVE,0.9155311111109999,3.528
2019-12-02T18:06:18+00:00,16.0,20.0,219.2,ADAPTIVE,0.919384722222,3.5389999999999997
2019-12-02T18:06:22+00:00,16.0,20.0,219.3,ADAPTIVE,0.923243055556,3.537
2019-12-02T18:06:26+00:00,16.0,20.0,219.7,ADAPTIVE,0.9270880555559999,3.542
2019-12-02T18:06:30+00:00,15.9,20.0,219.5,ADAPTIVE,0.930949166667,3.529
2019-12-02T18:06:34+00:00,16.0,20.0,220.0,ADAPTIVE,0.934796388889,3.54
2019-12-02T18:06:39+00:00,15.9,20.0,219.5,ADAPTIVE,0.938659444444,3.513
2019-12-02T18:06:42+00:00,15.9,20.0,219.4,ADAPTIVE,0.942504722222,3.524
2019-12-02T18:06:46+00:00,16.0,20.0,219.2,ADAPTIVE,0.9463608333329999,3.533
2019-12-02T18:06:50+00:00,16.0,20.0,218.3,ADAPTIVE,0.950193888889,3.518
2019-12-02T18:06:54+00:00,16.0,20.0,217.8,ADAPTIVE,0.9540130555559999,3.517
2019-12-02T18:06:58+00:00,16.0,20.0,218.1,ADAPTIVE,0.957845277778,3.506
2019-12-02T18:07:02+00:00,15.9,20.0,218.2,ADAPTIVE,0.961666388889,3.509
2019-12-02T18:07:05+00:00,16.0,20.0,218.4,ADAPTIVE,0.9655061111109999,3.5109999999999997
2019-12-02T18:07:09+00:00,16.0,20.0,218.2,ADAPTIVE,0.9693311111109999,3.518
2019-12-02T18:07:16+00:00,16.0,20.0,218.1,ADAPTIVE,0.9731672222219999,3.512
2019-12-02T18:07:19+00:00,16.0,20.0,218.2,ADAPTIVE,0.976988888889,3.513
2019-12-02T18:07:21+00:00,15.9,20.0,218.2,ADAPTIVE,0.9808258333329999,3.513
2019-12-02T18:07:25+00:00,15.9,20.0,218.2,ADAPTIVE,0.984649166667,3.512
2019-12-02T18:07:29+00:00,16.0,20.0,218.3,ADAPTIVE,0.9884897222219999,3.5109999999999997
2019-12-02T18:07:33+00:00,16.0,20.0,218.3,ADAPTIVE,0.992314444444,3.517
2019-12-02T18:07:37+00:00,16.0,20.0,218.5,ADAPTIVE,0.9961549999999999,3.5189999999999997
2019-12-02T18:07:41+00:00,16.0,20.0,218.4,ADAPTIVE,0.9999808333329999,3.514
2019-12-02T18:07:45+00:00,16.0,20.0,218.3,ADAPTIVE,1.0038219444399998,3.521
2019-12-02T18:07:49+00:00,15.9,20.0,218.4,ADAPTIVE,1.0076463888899998,3.5109999999999997
2019-12-02T18:07:53+00:00,16.0,20.0,218.2,ADAPTIVE,1.01148583333,3.516
2019-12-02T18:07:57+00:00,16.0,20.0,218.1,ADAPTIVE,1.01530944444,3.513
2019-12-02T18:08:01+00:00,16.0,20.0,218.1,ADAPTIVE,1.0191491666699999,3.5149999999999997
2019-12-02T18:08:06+00:00,15.9,20.0,218.5,ADAPTIVE,1.0229741666699999,3.508
2019-12-02T18:08:09+00:00,15.9,20.0,218.3,ADAPTIVE,1.02681527778,3.514
2019-12-02T18:08:12+00:00,16.0,20.0,218.3,ADAPTIVE,1.0306380555599999,3.512
2019-12-02T18:08:17+00:00,16.0,20.0,218.3,ADAPTIVE,1.03446361111,3.517
2019-12-02T18:08:21+00:00,16.0,20.0,218.4,ADAPTIVE,1.03830555556,3.521
2019-12-02T18:08:25+00:00,15.9,20.0,217.3,ADAPTIVE,1.04211361111,3.4949999999999997
2019-12-02T18:08:28+00:00,15.9,20.0,217.1,ADAPTIVE,1.04593638889,3.4899999999999998
2019-12-02T18:08:32+00:00,15.9,20.0,217.3,ADAPTIVE,1.04974305556,3.496
